page	source	file	bytes	sha256	last_modified
DevWikiAffineParameters	https://trac.osgeo.org/postgis/raw-attachment/wiki/DevWikiAffineParameters/CCW_rotation.png	doc/development/internals/images/raster-affine/CCW_rotation.png	1194	df0264105932eb6f4a74ec39c86e92ef1bf15f26d56dd195735b70a7bc8f7a00	Tue, 13 Sep 2011 15:32:59 GMT
DevWikiAffineParameters	https://trac.osgeo.org/postgis/raw-attachment/wiki/DevWikiAffineParameters/CW_rotation.png	doc/development/internals/images/raster-affine/CW_rotation.png	1252	7bd44042096ff5feeda9022c36b58be3c8944c43176439ba96ccbecb8390b67a	Tue, 13 Sep 2011 15:33:25 GMT
DevWikiAffineParameters	https://trac.osgeo.org/postgis/raw-attachment/wiki/DevWikiAffineParameters/affinematrix.png	doc/development/internals/images/raster-affine/affinematrix.png	2290	a791a5e85764eb31fa73446575856b26ae66053038189524dcbdb881db5fa706	Tue, 13 Sep 2011 17:58:41 GMT
DevWikiAffineParameters	https://trac.osgeo.org/postgis/raw-attachment/wiki/DevWikiAffineParameters/affineusage.png	doc/development/internals/images/raster-affine/affineusage.png	2144	4a1a36710a3bd06744a7afd41808efac2dd9d8414cb452990242a4f8264fe817	Tue, 13 Sep 2011 17:58:55 GMT
DevWikiAffineParameters	https://trac.osgeo.org/postgis/raw-attachment/wiki/DevWikiAffineParameters/aggregate_step1.png	doc/development/internals/images/raster-affine/aggregate_step1.png	3238	99ee83f99872b905acf1846725c66c49f5b021974f8e4a16d14d3a6694dea687	Sun, 27 Nov 2011 20:10:28 GMT
DevWikiAffineParameters	https://trac.osgeo.org/postgis/raw-attachment/wiki/DevWikiAffineParameters/aggregate_step2.png	doc/development/internals/images/raster-affine/aggregate_step2.png	3025	acc310bbf8346d41d615e3f9b87dab5df3f3f1e10b879c38c86d6af3e6bb01bf	Sun, 27 Nov 2011 20:10:47 GMT
DevWikiAffineParameters	https://trac.osgeo.org/postgis/raw-attachment/wiki/DevWikiAffineParameters/aggregate_step3.png	doc/development/internals/images/raster-affine/aggregate_step3.png	2640	9f6c93e338b6158e5be2e768648e83cf3d965d037434fc51f6dd156b6567a9b1	Sun, 27 Nov 2011 20:11:00 GMT
DevWikiAffineParameters	https://trac.osgeo.org/postgis/raw-attachment/wiki/DevWikiAffineParameters/aggregate_step4.png	doc/development/internals/images/raster-affine/aggregate_step4.png	3261	e35679a20a2f4549ec1f90e516a0b4236936efd5abb25c97137d67fb69c77600	Sun, 27 Nov 2011 20:11:33 GMT
DevWikiAffineParameters	https://trac.osgeo.org/postgis/raw-attachment/wiki/DevWikiAffineParameters/aggregate_usage.png	doc/development/internals/images/raster-affine/aggregate_usage.png	1381	eece9e6008c3fc1d1c9e26afc910da6e60493775c9d256cdfd5d57745792a63c	Tue, 13 Sep 2011 17:16:40 GMT
DevWikiAffineParameters	https://trac.osgeo.org/postgis/raw-attachment/wiki/DevWikiAffineParameters/basisvector_i.png	doc/development/internals/images/raster-affine/basisvector_i.png	2428	95e5adc5b9de27b33ef006608c4c4ea14d23b8b8535e888a9cf24d75fa0a83f3	Sun, 27 Nov 2011 22:02:15 GMT
