page	source	file	bytes	sha256	last_modified
DevWikiAffineParameters	https://trac.osgeo.org/postgis/raw-attachment/wiki/DevWikiAffineParameters/basisvector_j.png	doc/development/internals/images/raster-affine/basisvector_j.png	2760	85e78c85774a94aab06ed347202e5b682151f4b639c064f110d3371baae0fe7c	Sun, 27 Nov 2011 22:02:27 GMT
DevWikiAffineParameters	https://trac.osgeo.org/postgis/raw-attachment/wiki/DevWikiAffineParameters/basisvectormag_i.png	doc/development/internals/images/raster-affine/basisvectormag_i.png	1055	bbbfe0db97f5b31fac8822b36b6c0ce9f8eb8780ce5394d7e0bc8ef23943cbb6	Sun, 27 Nov 2011 22:02:41 GMT
DevWikiAffineParameters	https://trac.osgeo.org/postgis/raw-attachment/wiki/DevWikiAffineParameters/basisvectormag_j.png	doc/development/internals/images/raster-affine/basisvectormag_j.png	3854	e636c62b56dad403a067b615b0157bceb2f41a0bae436e4ec8a17532b097a3f6	Sun, 27 Nov 2011 22:02:52 GMT
DevWikiAffineParameters	https://trac.osgeo.org/postgis/raw-attachment/wiki/DevWikiAffineParameters/construction-step5.png	doc/development/internals/images/raster-affine/construction-step5.png	6914	60603f787a68de654f674876f2ceb41c5e735b8902cd95e0a77a4b4530a86661	Sun, 27 Nov 2011 20:51:38 GMT
DevWikiAffineParameters	https://trac.osgeo.org/postgis/raw-attachment/wiki/DevWikiAffineParameters/reflect_x.png	doc/development/internals/images/raster-affine/reflect_x.png	1057	1a4464784efff282e5d5b40509dafc82001a71f4d03aad678a25c2e2e18bb39e	Sun, 27 Nov 2011 20:17:03 GMT
DevWikiAffineParameters	https://trac.osgeo.org/postgis/raw-attachment/wiki/DevWikiAffineParameters/scalefactor_j.png	doc/development/internals/images/raster-affine/scalefactor_j.png	4016	a88510a5da6806a19cd13522a62adba2c1f7b3ae162df73497b6b1776b9ed585	Sun, 27 Nov 2011 22:03:29 GMT
DevWikiAffineParameters	https://trac.osgeo.org/postgis/raw-attachment/wiki/DevWikiAffineParameters/scaling.png	doc/development/internals/images/raster-affine/scaling.png	928	b9fce3c4d52e073c21acee39aabd3363b0d557b9213afb07d841f1a6001a9e05	Tue, 13 Sep 2011 15:33:37 GMT
DevWikiAffineParameters	https://trac.osgeo.org/postgis/raw-attachment/wiki/DevWikiAffineParameters/shear_x.png	doc/development/internals/images/raster-affine/shear_x.png	867	ab097e426e48005c8c62a449a0ce40bd74c1dcea2a2937239ce9738beaa4e882	Tue, 13 Sep 2011 15:33:48 GMT
DevWikiAffineParameters	https://trac.osgeo.org/postgis/raw-attachment/wiki/DevWikiAffineParameters/shear_y.png	doc/development/internals/images/raster-affine/shear_y.png	863	8eba968870750f2746159c9875cece40b97048bfb79293ef736a567345534076	Tue, 13 Sep 2011 15:34:03 GMT
DevWikiAffineParameters	https://trac.osgeo.org/postgis/raw-attachment/wiki/DevWikiAffineParameters/shearing_params.png	doc/development/internals/images/raster-affine/shearing_params.png	11697	5390a5911fc9f3daa9bad0c31446c2e7b0c684fefaa0c2667fdef4f698f7c822	Sun, 27 Nov 2011 22:03:17 GMT
